account,date_added_to_library,audible_product_id,locale,title,subtitle,authors,narrators,length_in_minutes,description,publisher,has_pdf,series_names,series_order,community_rating_overall,community_rating_performance,community_rating_story,coverOid,is_abridged,date_published,categories,my_rating_overall,my_rating_performance,my_rating_story,my_libation_tags,book_liberated_status,pdf_liberated_status,content_type,audio_format,language,last_downloaded,last_downloaded_version
victor.tolbert@gmail.com,10/25/2019 11:24:34AM,B010N1IC5A,us,Between the World and Me,,Ta-Nehisi Coates,Ta-Nehisi Coates,215,"<p><b>Number-one </b><b><i>New York Times</i></b><b> best seller</b><br /> <b> National Book Award winner</b><br /> <b> Named one of </b><b><i>Time</i></b><b>’s Ten Best Nonfiction Books of the Decade</b><br /> <b> Pulitzer Prize finalist</b><br /> <b> National Book Critics Circle Award finalist </b></p> <p>Hailed by Toni Morrison as “required reading”, a bold and personal literary exploration of America’s racial history by “the most important essayist in a generation and a writer who changed the national political conversation about race” (<i>Rolling Stone</i>).</p> <p>Named one of the Most Influential Books of the Decade by CNN</p> <p>Named one of <i>Paste</i>’s Best Memoirs of the Decade</p> <p>Named one of the Ten Best Books of the Year by <i>The New York Times Book Review</i> • <i>O: The Oprah Magazine</i> • <i>The Washington Post</i> • <i>People</i> • <i>Entertainment Weekly</i> • <i>Vogue</i> • <i>Los Angeles Times</i> • <i>San Francisco Chronicle</i> • <i>Chicago Tribune</i> • <i>New York</i> • <i>Newsday</i> • <i>Library Journal</i> • <i>Publishers Weekly</i> </p> <p><b>In a profound work that pivots from the biggest questions about American history and ideals to the most intimate concerns of a father for his son, Ta-Nehisi Coates offers a powerful new framework for understanding our nation’s history and current crisis. </b></p> <p>Americans have built an empire on the idea of “race”, a falsehood that damages us all but falls most heavily on the bodies of Black women and men - bodies exploited through slavery and segregation and, today, threatened, locked up, and murdered out of all proportion. What is it like to inhabit a Black body and find a way to live within it? And how can we all honestly reckon with this fraught history and free ourselves from its burden?</p> <p><i>Between the World and Me</i> is Ta-Nehisi Coates’ attempt to answer these questions in a letter to his adolescent son. Coates shares with his son - and listeners - the story of his awakening to the truth about his place in the world through a series of revelatory experiences, from Howard University to Civil War battlefields, from the South Side of Chicago to Paris, from his childhood home to the living rooms of mothers whose children’s lives were taken as American plunder. </p> <p>Beautifully woven from personal narrative, reimagined history, and fresh, emotionally charged reportage, <i>Between the World and Me</i> clearly illuminates the past, bracingly confronts our present, and offers a transcendent vision for a way forward. </p>",Random House Audio,False,,,4.782911,4.80189,4.7816076,51X5Apdri8L,False,7/14/2015 7:00:00AM,"Biographies & Memoirs, United States, Racism & Discrimination",0,0,0,,NotLiberated,,Product,"128 Kbps, 44.1 kHz, Stereo",English,,
victor.tolbert@gmail.com,9/23/2019 1:12:23PM,0062945149,us,Ultralearning,"Master Hard Skills, Outsmart the Competition, and Accelerate Your Career",Scott H. Young,Scott H. Young,466,"<p><b>Future-proof your career and maximize your competitive advantage by learning the skill necessary to stay relevant, reinvent yourself, and adapt to whatever the workplace throws your way in this essential guide that goes beyond the insights of popular works such as </b><b><i>Extreme Productivity, Deep Work, Peak,</i></b><b> and </b><b><i>Make It Stick.</i></b></p> <p>Faced with tumultuous economic times and rapid technological change, staying ahead in your career depends on continual learning - a lifelong mastery of new ideas, subjects, and skills. If you want to accomplish more and stand apart from everyone else, you need to become an ultralearner. </p> <p>Scott Young incorporates the latest research about the most effective learning methods and the stories of other ultralearners like himself - among them Ben Franklin, Judit Polgar, and Richard Feynman, as well as a host of others, such as little-known modern polymaths like Nigel Richards who won the World Championship of French Scrabble - without knowing French.</p> <p>Young documents the methods he and others have used and shows that, far from being an obscure skill limited to aggressive autodidacts, ultralearning is a powerful tool anyone can use to improve their career, studies, and life. <i>Ultralearning </i>explores this fascinating subculture, shares the seven principles behind every successful ultralearning project, and offers insights into how you can organize and execute a plan to learn anything deeply and quickly, without teachers or budget-busting tuition costs.</p> <p>Whether the goal is to be fluent in a language (or 10 languages), earn the equivalent of a college degree in a fraction of the time, or master multiple skills to build a product or business from the ground up, the principles in <i>Ultralearning</i> will guide you to success.</p>",HarperAudio,False,,,4.5445614,4.62531,4.5108604,51D5dwBcSFL,False,8/6/2019 7:00:00AM,Career Success,0,0,0,,NotLiberated,,Product,"128 Kbps, 44.1 kHz, Stereo",English,,
victor.tolbert@gmail.com,9/23/2019 1:10:05PM,B00VAZZY32,us,The Phoenix Project,"A Novel about IT, DevOps, and Helping Your Business Win 5th Anniversary Edition","Gene Kim, Kevin Behr, George Spafford",Chris Ruen,886,"<p>Five years after this sleeper hit took on the world of IT and flipped it on its head, the fifth anniversary edition of <i>The Phoenix Project</i> continues to guide IT in the DevOps revolution. In this newly updated and expanded edition of the best-selling <i>The Phoenix Project</i>, co-author Gene Kim includes a new afterword and a deeper delve into the Three Ways as described in <i>The DevOps Handbook</i>.</p> <p>Bill, an IT manager at Parts Unlimited, has been tasked with taking on a project critical to the future of the business, code named Phoenix Project. But the project is massively over budget and behind schedule. The CEO demands Bill must fix the mess in 90 days, or else Bill’s entire department will be outsourced.</p> <p>With the help of a prospective board member and his mysterious philosophy of the Three Ways, Bill starts to see that IT work has more in common with manufacturing plant work than he ever imagined. With the clock ticking, Bill must organize work flow, streamline interdepartmental communications, and effectively serve the other business functions at Parts Unlimited.</p> <p>In a fast-paced and entertaining style, three luminaries of the DevOps movement deliver a story that anyone who works in IT will recognize. Listeners will not only learn how to improve their own IT organizations, they’ll never view IT the same.</p> <p><b>PLEASE NOTE: When you purchase this title, the accompanying PDF will be available in your Audible Library along with the audio.</b></p>",IT Revolution Press,True,,,4.6868825,4.678344,4.647429,51Fi5Fq4u5L,False,4/7/2015 7:00:00AM,Career Success,0,0,0,,NotLiberated,NotLiberated,Product,"64 Kbps, 22.1 kHz, Stereo",English,,
victor.tolbert@gmail.com,7/23/2019 11:56:48AM,B07LFKH5FV,us,Dreyer's English,An Utterly Correct Guide to Clarity and Style,Benjamin Dreyer,"Benjamin Dreyer, Alison Fraser",578,"<p><b><i>New York Times</i></b><b> best seller • A sharp, funny grammar guide they’ll actually want to read, from Random House’s longtime copy chief and one of Twitter’s leading language gurus</b></p> <p><b>Named one of the Best Books of the Year by </b><b><i>O: The Oprah Magazine</i></b><b> • </b><b><i>Paste </i></b><b>• </b><b><i>Shelf Awareness</i></b></p> <p><b>""Essential (and delightful!)"" (</b><b><i>People</i></b><b>)</b></p> <p>We all write, all the time: books, blogs, emails. Lots and lots of emails. And we all want to write better. Benjamin Dreyer is here to help.</p> <p>As Random House’s copy chief, Dreyer has upheld the standards of the legendary publisher for more than two decades. He is beloved by authors and editors alike - not to mention his followers on social media - for deconstructing the English language with playful erudition. Now, he distills everything he has learned from the myriad books he has copyedited and overseen into a useful guide not just for writers but for everyone who wants to put their best prose foot forward.</p> <p>As authoritative as it is amusing, Dreyer’s English offers lessons on punctuation, from the underloved semicolon to the enigmatic en dash; the rules and nonrules of grammar, including why it’s okay to begin a sentence with ""And"" or ""But"" and to confidently split an infinitive; and why it’s best to avoid the doldrums of the Wan Intensifiers and Throat Clearers, including ""very,"" ""rather,"" ""of course,"" and the dreaded ""actually."" Dreyer will let you know whether ""alright"" is all right (sometimes) and even help you brush up on your spelling - though, as he notes, ""The problem with mnemonic devices is that I can never remember them.""</p> <p>And yes: ""Only godless savages eschew the series comma.""</p> <p>Chockful of advice, insider wisdom, and fun facts, this audiobook will prove to be invaluable to everyone who wants to shore up their writing skills, mandatory for people who spend their time editing and shaping other people’s prose, and - perhaps best of all - an utter treat for anyone who simply revels in language.</p> <p><b>Praise for </b><b><i>Dreyer’s English</i></b></p> <p>""Playful, smart, self-conscious, and personal... One encounters wisdom and good sense on nearly every page of <i>Dreyer’s English</i>."" (<i>The Wall Street Journal</i>)</p> <p>""Destined to become a classic."" (<i>The Millions</i>)</p> <p>""Dreyer can help you...with tips on punctuation and spelling.... Even better: He’ll entertain you while he’s at it."" (<i>Newsday</i>)</p>",Random House Audio,False,,,4.617211,4.7406144,4.5642858,41uIMs7+WuL,False,1/29/2019 8:00:00AM,"Words, Language & Grammar, Comedy & Humor",0,0,0,,NotLiberated,,Product,"64 Kbps, 22.1 kHz, Stereo",English,,
victor.tolbert@gmail.com,7/23/2019 11:56:48AM,B00DD0846Q,us,The 4 Disciplines of Execution,Achieving Your Wildly Important Goals,"Sean Covey, Chris McChesney, Jim Huling","Sean Covey, Chris McChesney, Jim Huling",507,"<p>An insightful new work from the multimillion-copy best-selling author Sean Covey and the FranklinCovey organization, based on their work with hundreds of thousands of employees and large companies to unveil the essential disciplines proven to help businesses and individuals realize their most important goals. </p> <p>A publishing phenomenon, Sean Covey and the FranklinCovey organization have become one of the most respected brands in the highly competitive world of thought leadership in business. In his latest work, Covey lays out an unprecedented plan for goal-realization that will revolutionize the way we approach our dreams. </p> <p><i>The 4 Disciplines of Execution</i> provides a simple, proven formula for achieving the goals that every individual or organization needs to reach. From Marriott to the U.S. Navy, Covey and his team have worked with more than 200,000 people in hundreds of organizations to improve performance, identifying and honing four secrets of perfect execution: Focus on the Wildly Important; Act on the Lead Measures; Keep a Compelling Scoreboard; and Create a Cadence of Accountability. By allowing teams to separate those urgent tasks that demand attention merely to keep a company alive - called the ""whirlwind"" - from new, ""wildly important"" goals that promise to break new ground, these disciplines empower leaders to accomplish what is by far the most difficult aspect of creating results: executing a strategy that requires a change in behavior. Simply put, this is a work that no business, however small or large, can afford to pass up.</p>",Simon & Schuster Audio,True,,,4.600873,4.5647974,4.5321794,51jU6ebPlPL,False,6/12/2013 2:01:00PM,"Career Success, Management & Leadership, Leadership, Management, Organizational Behavior, Personal Success",0,0,0,,NotLiberated,NotLiberated,Product,"64 Kbps, 22.1 kHz, Stereo",English,,
victor.tolbert@gmail.com,7/23/2019 11:56:48AM,B008K8BQG6,us,Masters of Doom,How Two Guys Created an Empire and Transformed Pop Culture,David Kushner,Wil Wheaton,763,"<p><i>Masters of Doom</i> is the amazing true story of the Lennon and McCartney of video games: John Carmack and John Romero. Together, they ruled big business. They transformed popular culture. And they provoked a national controversy. More than anything, they lived a unique and rollicking American Dream, escaping the broken homes of their youth to produce the most notoriously successful game franchises in history - <i>Doom</i> and <i>Quake</i> - until the games they made tore them apart. This is a story of friendship and betrayal, commerce and artistry - a powerful and compassionate account of what it's like to be young, driven, and wildly creative.</p>",Novel Audio,False,,,4.6654773,4.7491736,4.649647,51HWXRj3OoL,False,7/12/2012 2:06:00AM,"Business, Business & Careers",0,0,0,,NotLiberated,,Product,"64 Kbps, 22.1 kHz, Stereo",English,,
victor.tolbert@gmail.com,7/23/2019 11:56:48AM,1524779261,us,Atomic Habits,An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,James Clear,335,"<p><b>The number one </b><b><i>New York Times</i></b><b> best seller. Over one million copies sold!</b></p> <p><b>Tiny Changes, Remarkable Results</b></p> <p>No matter your goals, <i>Atomic Habits</i> offers a proven framework for improving - every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.</p> <p>If you're having trouble changing your habits, the problem isn't you. The problem is your system. Bad habits repeat themselves again and again not because you don't want to change, but because you have the wrong system for change. You do not rise to the level of your goals. You fall to the level of your systems. Here, you'll get a proven system that can take you to new heights.</p> <p>Clear is known for his ability to distill complex topics into simple behaviors that can be easily applied to daily life and work. Here, he draws on the most proven ideas from biology, psychology, and neuroscience to create an easy-to-understand guide for making good habits inevitable and bad habits impossible. Along the way, listeners will be inspired and entertained with true stories from Olympic gold medalists, award-winning artists, business leaders, life-saving physicians, and star comedians who have used the science of small habits to master their craft and vault to the top of their field.</p> <p>Learn how to:</p> <p></p> <ul> <li>Make time for new habits (even when life gets crazy)</li> <li>Overcome a lack of motivation and willpower</li> <li>Design your environment to make success easier</li> <li>Get back on track when you fall off course</li> <li>And much more</li> </ul> <p><i>Atomic Habits</i> will reshape the way you think about progress and success, and give you the tools and strategies you need to transform your habits - whether you are a team looking to win a championship, an organization hoping to redefine an industry, or simply an individual who wishes to quit smoking, lose weight, reduce stress, or achieve any other goal.</p>",Penguin Audio,False,,,4.8262296,4.8090625,4.790827,513Y5o-DYtL,False,10/16/2018 7:00:00AM,"Organizational Behavior, Personal Success, Social Psychology & Interactions",5,5,5,,NotLiberated,,Product,"64 Kbps, 22.1 kHz, Stereo",English,,
victor.tolbert@gmail.com,5/11/2019 9:12:48PM,B00UKEQK82,us,Modern Romance,An Investigation,"Aziz Ansari, Eric Klinenberg","Aziz Ansari, Eric Klinenberg",374,"<p>The number one <i>New York Times</i> best seller.</p> <p>A hilarious, thoughtful, and in-depth exploration of the pleasures and perils of modern romance from Aziz Ansari, the star of <i>Master of None</i> and one of this generation’s sharpest comedic voices.</p> <p>At some point, every one of us embarks on a journey to find love. We meet people, date, get into and out of relationships, all with the hope of finding someone with whom we share a deep connection. This seems standard now, but it’s wildly different from what people did even just decades ago. Single people today have more romantic options than at any point in human history. With technology, our abilities to connect with and sort through these options are staggering. So why are so many people frustrated?</p> <p>Some of our problems are unique to our time. “Why did this guy just text me an emoji of a pizza?”, “Should I go out with this girl even though she listed Combos as one of her favorite snack foods? Combos?!”, “My girlfriend just got a message from some dude named Nathan. Who’s Nathan? Did he just send her a photo of his penis? Should I check just to be sure?”.</p> <p>But the transformation of our romantic lives can’t be explained by technology alone. In a short period of time, the whole culture of finding love has changed dramatically. A few decades ago, people would find a decent person who lived in their neighborhood. Their families would meet and, after deciding neither party seemed like a murderer, they would get married and soon have a kid, all by the time they were 24. Today, people marry later than ever and spend years of their lives on a quest to find the perfect person, a soul mate.</p> <p>For years, Aziz Ansari has been aiming his comic insight at modern romance, but for <i>Modern Romance</i>, the book, he decided he needed to take things to another level. He teamed up with NYU sociologist Eric Klinenberg and designed a massive research project, including hundreds of interviews and focus groups conducted everywhere from Tokyo to Buenos Aires to Wichita. They analyzed behavioral data and surveys and created their own online research forum on Reddit, which drew thousands of messages. They enlisted the world’s leading social scientists, including Andrew Cherlin, Eli Finkel, Helen Fisher, Sheena Iyengar, Barry Schwartz, Sherry Turkle, and Robb Willer. The result is unlike any social science or humor book we’ve seen before.</p> <p>In <i>Modern Romance</i>, Ansari combines his irreverent humor with cutting-edge social science to give us an unforgettable tour of our new romantic world.</p>",Penguin Audio,False,,,4.4897695,4.736491,4.3797565,41iQeiOBkzL,False,6/16/2015 7:00:00AM,"Comedy & Humor, Sociology, Love, Dating & Attraction",0,0,0,,NotLiberated,,Product,"64 Kbps, 22.1 kHz, Stereo",English,,
victor.tolbert@gmail.com,2/17/2019 1:24:07PM,B07C8GVTB5,us,Bad Blood,Secrets and Lies in a Silicon Valley Startup,John Carreyrou,Will Damron,697,"<p><b>NATIONAL BESTSELLER • The gripping story of Elizabeth Holmes and Theranos—one of the biggest corporate frauds in history—a tale of ambition and hubris set amid the bold promises of Silicon Valley, rigorously reported by the prize-winning journalist. With a new Afterword.</b><br /> <br /> <b>“Chilling ... Reads like a thriller ... Carreyrou tells [the Theranos story] virtually to perfection.” —</b><b><i>The New York Times Book Review</i></b><b><br /> </b><br /> In 2014, Theranos founder and CEO Elizabeth Holmes was widely seen as the next Steve Jobs: a brilliant Stanford dropout whose startup “unicorn” promised to revolutionize the medical industry with its breakthrough device, which performed the whole range of laboratory tests from a single drop of blood. Backed by investors such as Larry Ellison and Tim Draper, Theranos sold shares in a fundraising round that valued the company at more than $9 billion, putting Holmes’s worth at an estimated $4.5 billion. There was just one problem: The technology didn’t work. Erroneous results put patients in danger, leading to misdiagnoses and unnecessary treatments. All the while, Holmes and her partner, Sunny Balwani, worked to silence anyone who voiced misgivings—from journalists to their own employees.</p>",Random House Audio,False,,,4.801096,4.7585287,4.8193183,41AbpgAXGoL,False,5/21/2018 7:00:00AM,"True Crime, Entrepreneurship, Corporate, Economics",5,5,5,,NotLiberated,,Product,"64 Kbps, 22.1 kHz, Stereo",English,,
victor.tolbert@gmail.com,2/17/2019 1:20:20PM,B07LGF8TCJ,us,Digital Minimalism,Choosing a Focused Life in a Noisy World,Cal Newport,"Will Damron, Cal Newport",419,"<p><b>A</b> <b><i>New York Times, Wall Street Journal, Publishers Weekly,</i></b> <b>and</b> <b><i>USA Today </i></b><b>best seller </b></p> <p>""Newport is making a bid to be the Marie Kondo of technology: someone with an actual plan for helping you realize the digital pursuits that do, and don't, bring value to your life."" (Ezra Klein, <i>Vox</i>) </p> <p><b>Minimalism is the art of knowing how much is just enough. Digital minimalism applies this idea to our personal technology. It's the key to living a focused life in an increasingly noisy world. </b></p> <p>In this timely and enlightening book, the best-selling author of <i>Deep Work </i>introduces a philosophy for technology use that has already improved countless lives. </p> <p>Digital minimalists are all around us. They're the calm, happy people who can hold long conversations without furtive glances at their phones. They can get lost in a good book, a woodworking project, or a leisurely morning run. They can have fun with friends and family without the obsessive urge to document the experience. They stay informed about the news of the day, but don't feel overwhelmed by it. They don't experience ""fear of missing out"" because they already know which activities provide them meaning and satisfaction. </p> <p>Now, Newport gives us a name for this quiet movement and makes a persuasive case for its urgency in our tech-saturated world. Common sense tips, like turning off notifications, or occasional rituals, like observing a digital sabbath, don't go far enough in helping us take back control of our technological lives, and attempts to unplug completely are complicated by the demands of family, friends, and work. What we need instead is a thoughtful method to decide what tools to use, for what purposes, and under what conditions. </p> <p>Drawing on a diverse array of real-life examples, from Amish farmers to harried parents to Silicon Valley programmers, Newport identifies the common practices of digital minimalists and the ideas that underpin them. He shows how digital minimalists are rethinking their relationship to social media, rediscovering the pleasures of the offline world, and reconnecting with their inner selves through regular periods of solitude. He then shares strategies for integrating these practices into your life, starting with a 30-day ""digital declutter"" process that has already helped thousands feel less overwhelmed and more in control. </p> <p>Technology is intrinsically neither good nor bad. The key is using it to support your goals and values, rather than letting it use you. This book shows the way.</p>",Penguin Audio,False,,,4.6107774,4.60989,4.5563617,61zsCT1axRL,False,2/5/2019 8:00:00AM,"Personal Success, Motivation & Self-Improvement, Technology & Society, Philosophy, Stress Management",0,0,0,,NotLiberated,,Product,"64 Kbps, 22.1 kHz, Stereo",English,,
