name,url,publisher,author,duration,lessons
Mastering Nuxt, masteringnuxt.com/nuxt3/lessons,Vue School,,,
The Beginner's Guide to React,egghead.io/courses/the-beginner-s-guide-to-react,egghead.io, Kent C. Dodds,,
CSS for JavaScript Developers,courses.joshwcomeau.com/css-for-js,Josh Comeau,Josh Comeau,,
The Joy of React,courses.joshwcomeau.com/joy-of-react,Josh Comeau,Josh Comeau,,
Just JavaScript,justjavascript.com/learn,Just JavaScript, Dan Abramov,,
TypeScript Basics,www.executeprogram.com/courses/typescript-basics,Execute Program,Gary Bernhardt,,
SQL,executeprogram.com/courses/sql,Execute Progrom,Gary Bernhardt,,
JavaScript Concurrency,executeprogram.com/courses/javascript-concurrency,Execute Progrom,Gary Bernhardt,,
Python for Programmers,executeprogram.com/courses/python-for-programmers,Execute Progrom,Gary Bernhardt,,
Every TypeScript,executeprogram.com/courses/everyday-typescript,Execute Progrom,Gary Bernhardt,,
Advanced TypeScript,executeprogram.com/courses/advanced-typescript,Execute Progrom,Gary Bernhardt,,
Regular Expressions,executeprogram.com/courses/regexes,Execute Progrom,Gary Bernhardt,,
Modern JavaScript,executeprogram.com/courses/modern-javascript,Execute Progrom,Gary Bernhardt,,
JavaScript Arrays,executeprogram.com/courses/javascript-array,Execute Progrom,Gary Bernhardt,,
Testing JavaScript,testingjavascript.com,Kent C. Dodds,Kent C. Dodds,,
Epic React,epicreact.dev/learn,Kent C. Dodds,Kent C. Dodds,,
An Introduction to The React Testing Library,egghead.io/courses/an-introduction-to-the-react-testing-library-42204aaa,egghead.io,Daniel Afonso,25m,22
