name,url,description
Lachlan Miller,lachlan-miller.me,
Marques Brownlee,mkbhd.com,
Sarah Drasner,sarahdrasnerdesign.com,
Wes Bos,wesbos.com,
Kent C. Dodds,kentcdodds.com,
Taylor Otwell,taylorotwell.com,
Adam Wathan,adamwathan.me,
Jeffrey Way,laracasts.com,
Freek Van der Herten,freek.dev,
Chris Coyier,css-tricks.com,
Jason Fried,basecamp.com,
David Heinemeier Hansson,dhh.dk,
Chris Ferdinandi,gomakethings.com,
Caleb Porzionato,calebporzio.com,
Evan You,evanyou.me,
John Resig,jeresig.com,
Addy Osmani,addyosmani.com,
Anthony Fu,antfu.me,
Dan Mall,danmall.me,
Angie Jones,angiejones.tech,
David Allen,davidco.com,
Seth Godin,seths.blog,
Gary Vaynerchuk,garyvaynerchuk.com,
Scott Hanselman,hanselman.com,
David Fowler,davidfowl.com,
Cecil Phillip,cecilphillip.com,
Shawn Wildermuth,wildermuth.com,
Rob Conery, rob.conery.io,
David Pogue,davidpogue.com,
Walt Mossberg,thewaronprivacy.com,
Chris Prillo,chris.pirillo.com,
Leo Laporte,leolaporte.com,
Jeff Atwood,codinghorror.com,
Joel Spolsky,joelonsoftware.com,
John Gruber,daringfireball.net,
Paul Graham,paulgraham.com,
Dave Winer,davewiner.com,
Erik Hanchett,erik.dev,
Scott Tolinski,scotttolinski.com,
Lamarr Wilson,lamarrwilson.com,
Brandon Harvard,brandonharv.com,
"Jimmy 'MrBeast' Donaldson",mrbeast.com,
Justine Ezarik,ijustine.com,
Maximilian Schwarzmüller,academind.com,
Ben Hong,bencodezen.io,
Andre Madarang,andremadarang.com,
Andrew Schmelyun,andrewschmelyun.com,
Baratunde Thurston,baratunde.com,
Okey O. Onyegbule,askokey.com,
Sönke Rohde,soenkerohde.com,Principal UX Designer at Google
Alyssa Vincent-Hill,alyssax.com,Principal User Researcher at Salesforce
JD Vogt,jdvogt.com,UX Design Architect for the Lightning Experience at Salesforce
Katey Basye,kateybasye.com,UX Design Architect for the Lightning Experience at Salesforce
Ryan Scott,ryanscott.design,"UDesign Lead @ Airbnb + MBA Candidate @ Berkeley Haas. Formerly DoorDash, Palantir + Salesforce"
Jina Anne,jina.design,Design Systems Advocate at Amazon
Stef. Sullivan Rewis,stefsull.com,Design Systems Advocate at Amazon
Gary Bernhardt,destroyallsoftware.com,
Mark Techson,marktechson.com,
